time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-02-23T16:34:11.520Z,-21.6801,-63.1941,22.89,4.9,mb,,30,4.785,0.93,us,us2000jm2k,2019-02-23T16:53:01.040Z,"57km SSE of Villamontes, Bolivia",earthquake,7.1,4.8,0.041,191,reviewed,us,us
2019-02-23T15:57:39.790Z,18.7281,-65.2241,60,3.06,md,5,330,0.8566,0.17,pr,pr2019054006,2019-02-24T00:12:11.498Z,"47km N of Culebra, Puerto Rico",earthquake,3.29,5.93,0.28,5,reviewed,pr,pr
2019-02-23T14:38:19.590Z,36.8429,-97.7402,5,2.5,ml,,88,0.096,0.24,us,us2000jm20,2019-02-24T01:31:40.174Z,"4km N of Medford, Oklahoma",earthquake,1.3,5.5,0.057,40,reviewed,ok,us
2019-02-23T14:23:50.610Z,45.0766,-114.488,10,3.3,ml,,71,1.071,0.65,us,us2000jm1x,2019-02-23T19:12:27.362Z,"47km WSW of Salmon, Idaho",earthquake,3.7,2,0.057,40,reviewed,us,us
2019-02-23T12:54:02.167Z,66.2875,-156.9759,38.2,3.5,ml,,,,0.69,ak,ak0192hihfd0,2019-02-23T13:17:32.040Z,"69km S of Kobuk, Alaska",earthquake,,6.8,,,automatic,ak,ak
2019-02-23T12:14:39.080Z,-23.1279,-66.6469,204.22,5,mww,,31,1.422,1.39,us,us2000jm0c,2019-02-23T12:30:41.040Z,"98km W of El Aguilar, Argentina",earthquake,7.2,3.8,0.073,18,reviewed,us,us
2019-02-23T12:12:57.350Z,56.1646,-148.813,19.94,3.8,mb,,198,2.625,0.6,us,us2000jm09,2019-02-23T17:33:54.065Z,"283km SE of Kodiak, Alaska",earthquake,8.9,8.4,0.36,2,reviewed,us,us
2019-02-23T11:43:57.630Z,1.1099,128.2085,10,5,mww,,71,0.906,0.78,us,us2000jm06,2019-02-23T12:00:52.040Z,"71km SSE of Tobelo, Indonesia",earthquake,6.4,1.9,0.071,19,reviewed,us,us
2019-02-23T11:39:50.306Z,64.7221,-149.0782,17,2.5,ml,,,,0.73,ak,ak0192hhsz31,2019-02-23T12:09:21.040Z,"16km N of North Nenana, Alaska",earthquake,,0.1,,,automatic,ak,ak
2019-02-23T11:30:23.630Z,33.9833333,-118.6955,10.2,2.6,ml,62,115,0.08618,0.26,ci,ci38470664,2019-02-24T01:59:30.591Z,"6km S of Malibu Beach, CA",earthquake,0.45,0.72,0.181,25,automatic,ci,ci
